attention.Time,attention.name,attention
2015-01-01,AdguardTeam_AdguardFilters,5.0
2015-01-01,angular_angular,420.0
2015-01-01,ankidroid_AnkiAndroid,25.0
2015-01-01,ansible_ansible,746.0
2015-01-01,apache_flink,221.0
2015-01-01,apache_spark,806.0
2015-01-01,ArduPilot_ardupilot,354.0
2015-01-01,Automattic_jetpack,52.0
2015-01-01,Azure_azurepowershell,68.0
2015-01-01,Azure_azuresdkforjava,17.0
2015-01-01,Azure_azuresdkfornet,65.0
2015-01-01,Azure_azuresdkforpython,12.0
2015-01-01,bitcoin_bitcoin,365.0
2015-01-01,ceph_ceph,146.0
2015-01-01,CleverRaven_CataclysmDDA,103.0
2015-01-01,cmssw_cmssw,142.0
2015-01-01,cockroachdb_cockroach,241.0
2015-01-01,darktableorg_darktable,38.0
2015-01-01,DefinitelyTyped_DefinitelyTyped,447.0
2015-01-01,directus_directus,4.0
2015-01-01,dotnet_aspnetcore,270.0
2015-01-01,dotnet_efcore,241.0
2015-01-01,dotnet_roslyn,1148.0
2015-01-01,elastic_elasticsearch,753.0
2015-01-01,elastic_kibana,329.0
2015-01-01,electron_electron,595.0
2015-01-01,facebook_react,2246.0
2015-01-01,getsentry_sentry,233.0
2015-01-01,godotengine_godot,595.0
2015-01-01,golang_go,1091.0
2015-01-01,gradle_gradle,156.0
2015-01-01,grafana_grafana,415.0
2015-01-01,homeassistant_core,113.0
2015-01-01,Homebrew_homebrewcask,615.0
2015-01-01,JetBrains_swot,232.0
2015-01-01,jitsi_jitsimeet,35.0
2015-01-01,jlord_patchwork,846.0
2015-01-01,joomla_joomlacms,166.0
2015-01-01,JuliaLang_julia,322.0
2015-01-01,keycloak_keycloak,50.0
2015-01-01,kubernetes_kubernetes,738.0
2015-01-01,laravel_framework,550.0
2015-01-01,magento_magento2,300.0
2015-01-01,MarlinFirmware_Marlin,292.0
2015-01-01,matplotlib_matplotlib,215.0
2015-01-01,matrixorg_synapse,14.0
2015-01-01,microsoft_TypeScript,366.0
2015-01-01,mrdoob_three.js,939.0
2015-01-01,mui_materialui,753.0
2015-01-01,neovim_neovim,767.0
2015-01-01,NixOS_nixpkgs,216.0
2015-01-01,nodejs_node,3187.0
2015-01-01,obsproject_obsstudio,116.0
2015-01-01,odoo_odoo,542.0
2015-01-01,opencv_opencv,743.0
2015-01-01,openhab_openhabaddons,112.0
2015-01-01,openshift_openshiftdocs,77.0
2015-01-01,openssl_openssl,170.0
2015-01-01,pandasdev_pandas,290.0
2015-01-01,php_phpsrc,392.0
2015-01-01,postmanlabs_postmanappsupport,102.0
2015-01-01,ppy_osu,1.0
2015-01-01,PrestaShop_PrestaShop,179.0
2015-01-01,qbittorrent_qBittorrent,70.0
2015-01-01,qgis_QGIS,68.0
2015-01-01,qmk_qmk_firmware,16.0
2015-01-01,rails_rails,1126.0
2015-01-01,rancher_rancher,68.0
2015-01-01,rapid7_metasploitframework,393.0
2015-01-01,redis_redis,769.0
2015-01-01,RPCS3_rpcs3,77.0
2015-01-01,rstudio_rstudio,45.0
2015-01-01,rustlang_rust,1527.0
2015-01-01,scikitlearn_scikitlearn,695.0
2015-01-01,scipy_scipy,127.0
2015-01-01,spack_spack,5.0
2015-01-01,symfony_symfony,415.0
2015-01-01,tgstation_tgstation,129.0
2015-01-01,webcompat_webbugs,12.0
2015-01-01,woocommerce_woocommerce,149.0
2015-01-01,xbmc_xbmc,313.0
2015-02-01,angular_angular,624.0
2015-02-01,ankidroid_AnkiAndroid,53.0
2015-02-01,ansible_ansible,707.0
2015-02-01,apache_flink,100.0
2015-02-01,apache_spark,870.0
2015-02-01,ArduPilot_ardupilot,399.0
2015-02-01,Automattic_jetpack,52.0
2015-02-01,Azure_azurepowershell,73.0
2015-02-01,Azure_azuresdkforjava,7.0
2015-02-01,Azure_azuresdkfornet,50.0
2015-02-01,Azure_azuresdkforpython,44.0
2015-02-01,bitcoin_bitcoin,377.0
2015-02-01,ceph_ceph,115.0
2015-02-01,CleverRaven_CataclysmDDA,83.0
2015-02-01,cmssw_cmssw,118.0
2015-02-01,cockroachdb_cockroach,270.0
2015-02-01,darktableorg_darktable,48.0
2015-02-01,DefinitelyTyped_DefinitelyTyped,348.0
2015-02-01,directus_directus,1.0
2015-02-01,dotnet_aspnetcore,385.0
2015-02-01,dotnet_AspNetCore.Docs,12.0
2015-02-01,dotnet_efcore,206.0
2015-02-01,dotnet_roslyn,806.0
2015-02-01,elastic_elasticsearch,677.0
2015-02-01,elastic_kibana,351.0
2015-02-01,electron_electron,499.0
2015-02-01,facebook_react,3478.0
2015-02-01,getsentry_sentry,176.0
2015-02-01,godotengine_godot,331.0
2015-02-01,golang_go,890.0
2015-02-01,gradle_gradle,127.0
2015-02-01,grafana_grafana,460.0
2015-02-01,grpc_grpc,1491.0
